ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Restock_Frequency_Index,Shipment_Frequency_Index
1,D,Flight,4,2,177,3,low,F,44,5335,1,0.03409090909090905,0.2
2,F,Flight,4,2,216,2,low,M,59,2941,1,0.025423728813559202,0.2
3,A,Flight,2,2,183,4,low,M,48,3374,1,0.0624999999999999,0.3333333333333333
4,B,Flight,3,1,176,4,medium,M,10,1149,1,0.30000000000000004,0.25
5,C,Flight,2,2,184,3,medium,F,46,2484,1,0.06521739130434781,0.3333333333333333
6,F,Flight,3,1,162,3,medium,F,12,1417,1,0.2499999999999999,0.25
7,D,Flight,3,2,250,3,low,F,3,3899,1,0.5,0.25
8,F,Flight,4,1,233,2,low,F,48,2804,1,0.03124999999999995,0.2
9,A,Flight,3,1,150,3,low,F,11,1861,1,0.05454545454545454,0.25
10,B,Flight,3,2,164,3,medium,F,29,1187,1,0.041379310344827586,0.25
11,C,Flight,3,2,189,2,medium,M,12,2888,1,0.4999999999999998,0.25
12,F,Flight,4,1,232,3,medium,F,32,3253,1,0.1875,0.2
13,D,Flight,3,2,198,3,medium,F,1,3667,1,3.0,0.25
14,F,Flight,4,1,275,3,high,M,29,4047,1,0.15517241379310334,0.2
15,A,Flight,4,1,152,3,low,M,43,5835,1,0.03488372093023245,0.2
16,B,Flight,4,2,227,3,low,F,45,2707,1,0.0333333333333333,0.2
17,C,Flight,3,1,143,2,medium,F,6,1194,1,0.5,0.25
18,F,Ship,5,2,227,3,medium,M,36,5169,1,0.1666666666666665,0.3333333333333333
19,D,Ship,5,1,239,3,high,M,18,3709,1,0.2499999999999999,0.3333333333333333
20,F,Ship,4,1,145,3,medium,M,45,1059,1,0.02666666666666664,0.4
21,A,Ship,3,1,161,2,medium,F,38,1521,1,0.0789473684210526,0.5
22,B,Ship,3,2,232,4,medium,F,51,2899,1,0.058823529411764705,0.5
23,C,Ship,2,1,156,2,low,M,2,1750,1,0.75,0.6666666666666666
24,F,Ship,4,1,211,3,high,M,12,3922,1,0.375,0.4
25,D,Ship,4,1,251,2,medium,F,28,3561,1,0.2142857142857142,0.4
26,F,Ship,3,1,225,4,low,M,29,1710,1,0.0517241379310344,0.5
27,A,Ship,4,2,172,3,high,F,24,1066,1,0.07500000000000001,0.4
28,B,Ship,5,1,162,3,medium,M,31,1435,1,0.09677419354838698,0.3333333333333333
29,C,Ship,2,1,234,4,low,M,44,3134,1,0.0681818181818181,0.6666666666666666
30,F,Ship,5,2,183,2,low,F,36,5033,1,0.08333333333333309,0.3333333333333333
31,D,Ship,3,1,266,2,medium,F,38,2741,1,0.1578947368421052,0.5
32,F,Ship,5,1,257,2,low,F,61,5154,1,0.0245901639344262,0.3333333333333333
33,A,Ship,3,2,223,3,low,F,22,3795,1,0.0681818181818181,0.5
34,B,Ship,4,1,234,3,medium,M,4,1741,1,0.75,0.4
35,C,Ship,4,1,227,4,medium,F,22,2460,1,0.13636363636363635,0.4
36,F,Ship,5,1,149,3,medium,F,44,1811,1,0.0681818181818181,0.3333333333333333
37,D,Ship,3,2,137,4,high,F,62,1477,1,0.0290322580645161,0.5
38,F,Ship,2,3,181,6,medium,F,16,3605,1,0.375,0.6666666666666666
39,A,Ship,5,1,215,4,low,F,56,3905,1,0.0267857142857142,0.3333333333333333
40,B,Ship,4,1,269,5,low,F,45,2383,1,0.0666666666666666,0.4
41,C,Ship,5,1,227,2,low,M,15,3798,1,0.0999999999999999,0.3333333333333333
42,F,Ship,5,1,139,4,medium,M,61,5135,1,0.01967213114754096,0.3333333333333333
43,D,Ship,3,2,137,2,medium,M,38,1186,1,0.0789473684210526,0.5
44,F,Ship,3,1,174,2,low,M,44,1556,1,0.01363636363636362,0.5
45,A,Ship,3,2,151,2,low,M,29,1328,1,0.02068965517241376,0.5
46,B,Ship,5,2,210,3,low,F,9,2944,1,0.16666666666666666,0.3333333333333333
47,C,Ship,3,1,169,4,medium,F,32,5962,1,0.09375,0.5
48,F,Ship,5,2,160,2,low,M,32,1424,1,0.046875,0.3333333333333333
49,D,Ship,5,2,190,2,medium,M,9,3774,1,0.3333333333333333,0.3333333333333333
50,F,Ship,5,1,216,3,low,F,40,2146,1,0.07500000000000001,0.3333333333333333
51,A,Ship,4,2,183,3,low,M,37,2021,1,0.081081081081081,0.4
52,B,Ship,4,2,141,3,low,M,22,1246,1,0.0681818181818181,0.4
53,C,Ship,4,1,165,3,low,F,44,1320,1,0.01363636363636362,0.4
54,F,Ship,2,1,170,3,low,M,41,4506,1,0.0365853658536585,0.6666666666666666
55,D,Ship,4,2,203,3,high,M,12,3539,1,0.375,0.4
56,F,Ship,2,1,246,5,low,M,46,1996,1,0.032608695652173905,0.6666666666666666
57,A,Ship,3,1,238,3,low,F,61,3096,1,0.0491803278688524,0.5
58,B,Ship,3,2,193,3,medium,F,29,1945,1,0.10344827586206895,0.5
59,C,Ship,5,1,141,3,high,M,41,1073,1,0.0439024390243902,0.3333333333333333
60,F,Ship,4,2,150,3,high,F,17,1923,1,0.10588235294117646,0.4
61,D,Ship,3,1,221,3,low,F,64,1074,1,0.0234375,0.5
62,F,Ship,3,2,179,3,medium,M,52,1158,1,0.0576923076923076,0.5
63,A,Ship,5,2,105,6,medium,M,62,5033,1,0.0193548387096774,0.3333333333333333
64,B,Ship,3,2,177,3,medium,M,61,2964,1,0.0491803278688524,0.5
65,C,Ship,4,1,261,2,high,M,49,3045,1,0.09183673469387744,0.4
66,F,Ship,3,2,202,3,low,M,49,5515,1,0.03061224489795915,0.5
67,D,Ship,3,1,109,3,medium,F,15,1933,1,0.19999999999999996,0.5
68,F,Ship,3,4,158,3,low,F,6,1878,1,0.2499999999999999,0.5
69,A,Ship,4,1,231,4,medium,F,6,2512,1,0.5,0.4
