Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
2023,1,,10,Crupi,牡3,54.5,サエス,1:49.76,,,,---,3,計不,[外]プレッチ,Repole Stable and St. Elias Stables LLC,
202330081706,1,8,12,リコースチェッキン,牝3,54,岩橋勇二,1:01.6,,2-2,37.4,8.8,5,398(-2),[地]川島洋人,土橋正雄,40.0
202330081706,2,3,3,ロージー,牝4,54,桑村真明,1:02.3,3,7-6,37.2,38.2,10,408(-2),[地]村上正和,谷岡真喜,11.2
202330081706,3,6,8,ナッシングオンユー,牝5,54,阪野学,1:02.4,3/4,9-9,36.9,4.7,2,438(+10),[地]斉藤正弘,高嶋哲,8.4
202330081706,4,5,5,シンデレラサリサ,牝4,54,阿部龍,1:02.5,1/2,7-8,37.4,9.8,6,502(-8),[地]柳澤好美,組）リノレーシング,5.6
202330081706,5,2,2,ヨンプク,牡4,53,宮内勇樹,1:02.9,2,3-3,38.3,6.2,3,450(-2),[地]黒川智貴,福山清二,2.8
202330081706,6,7,9,シルバーニードル,牡3,56,多田羅誠,1:03.2,1.1/2,11-11,37.6,7.6,4,466(+4),[地]堂山芳則,菊地博,
202330081706,7,4,4,ブラックフェザー,牡3,56,石川倭,1:03.4,1,4-6,38.6,15.4,7,508(-2),[地]櫻井拓章,兼松康太,
202330081706,8,7,10,アグラバー,牝3,51,阿岸潤一,1:03.5,3/4,6-4,38.8,2.9,1,524(+2),[地]佐々木国,吉田晴哉,
202330081706,9,1,1,コウシュハセイコ,牝4,54,落合玄太,1:03.7,1,9-9,38.2,20.1,8,450(+4),[地]桧森邦夫,広瀬豪,
202330081706,10,8,11,ミッキージェンヌ,牝4,54,小野楓馬,1:03.7,ハナ,1-1,39.7,22.2,9,428(+2),[地]桧森邦夫,酒井孝敏,
202330081706,11,6,7,エイワキャントレー,牝4,54,松井伸也,1:04.3,3,4-5,39.6,424.8,12,410(-4),[地]桧森邦夫,原口厚三,
202330081706,12,5,6,サンラクロス,牝5,54,宮平鷹志,1:04.8,2.1/2,12-12,38.6,347.0,11,446(-3),[地]佐藤英明,（株）アプエンテ,
202330081708,1,6,6,ハナレタクナイ,牝3,51,宮内勇樹,1:15.5,,10-6,38.6,3.5,2,446(+2),[地]川島洋人,若林武雄,40.0
202330081708,2,7,8,ハクアイリシャール,牡4,56,石川倭,1:15.6,1/2,6-4,39.1,2.9,1,512(-6),[地]五十嵐冬,（株）Ｈ．Ｉコーポ,11.2
202330081708,3,8,10,モノノフピンク,牝3,54,多田羅誠,1:15.6,クビ,3-2,39.4,8.8,4,468(+6),[地]山口竜一,ウエスト．フォレスト,8.4
202330081708,4,8,11,レジリエントアイル,牡4,53,阿岸潤一,1:16.0,2,1-1,40.3,24.3,8,454(-4),[地]森山雄大,太田垣茂,5.6
202330081708,5,7,9,スカイヴィーナス,牝4,54,阿部龍,1:16.1,クビ,7-7,39.4,10.4,5,488(0),[地]村上正和,須貝廣次,2.8
202330081708,6,3,3,オスカーウィナー,牡3,56,服部茂史,1:16.6,2.1/2,7-9,39.9,22.1,7,460(-2),[地]田中淳司,嶋田賢,
202330081708,7,2,2,アリオト,牡4,56,阪野学,1:16.9,1.1/2,11-11,38.6,327.5,11,462(+4),[地]佐藤英明,組）西野畜産組合,
202330081708,8,5,5,ラッシュエオリカ,牝3,54,岩橋勇二,1:16.9,アタマ,7-7,40.2,21.3,6,398(-2),[地]山田和久,（有）槇本牧場,
202330081708,8,6,7,トリデンテ,牡4,56,小野楓馬,1:16.9,同着,5-5,40.5,4.0,3,530(-8),[地]安田武広,大塚亮一（株）,
202330081708,10,4,4,ストレイトアウェイ,牝3,54,落合玄太,1:16.9,ハナ,2-2,40.8,26.3,9,494(-8),[地]田中淳司,中村智幸,
202330081708,11,1,1,ヴィユノーク,牡4,56,亀井洋司,1:20.8,大,3-10,44.4,138.1,10,486(-4),[地]黒川智貴,三橋慶太,
202330081702,1,8,11,インテンシーヴォ,牡2,54,岩橋勇二,1:52.2,,1-1-1-1,40.1,2.5,1,468(-2),[地]田中淳司,徳原英修,50.0
202330081702,2,8,12,エイシンノヴァ,牡2,54,黒澤愛斗,1:53.1,4,4-4-3-2,40.5,3.0,2,428(-2),[地]松本隆宏,平井克彦,14.0
202330081702,3,5,6,イモノソーダワリデ,牡2,54,阪野学,1:54.0,4,2-3-4-3,41.1,21.9,6,438(-2),[地]櫻井拓章,林龍馬,10.5
202330081702,4,1,1,マキネッタ,牡2,54,落合玄太,1:54.1,クビ,4-5-5-3,41.1,45.5,8,498(0),[地]五十嵐冬,（有）ビッグレッド,7.0
202330081702,5,4,4,シシュフォス,牡2,54,小野楓馬,1:54.4,1.1/2,4-5-6-6,41.4,22.8,7,474(+2),[地]小野望,（株）マフィン,3.5
202330081702,6,3,3,アグロドルチェ,牡2,54,亀井洋司,1:55.6,6,12-12-12-11,41.3,131.5,11,454(-6),[地]佐々木国,（有）新生ファーム,
202330081702,7,7,9,アイソタイプ,牡2,54,多田羅誠,1:55.7,1/2,9-10-9-7,42.2,4.9,3,448(0),[地]柳澤好美,吉田照哉,
202330081702,8,6,7,スティールジェーン,牝2,54,阿部龍,1:56.3,3,11-11-11-10,42.4,99.8,10,416(-4),[地]角川秀樹,菅野守雄,
202330081702,9,7,10,カーチャ,牝2,54,服部茂史,1:56.9,3,2-2-2-5,44.5,18.0,5,490(-2),[地]千葉津代,和田博美,
202330081702,10,2,2,オルペウス,牡2,54,松井伸也,1:57.4,2.1/2,9-8-9-7,43.9,7.6,4,502(0),[地]櫻井拓章,吉田勝己,
202330081702,11,5,5,フレールサンク,牡2,54,桑村真明,1:57.8,2,7-8-7-7,44.3,71.2,9,488(+2),[地]角川秀樹,山崎祐嗣,
202330081702,12,6,8,エイシントイトイ,牡2,51,阿岸潤一,2:01.5,大,7-7-7-12,48.0,246.0,12,458(-2),[地]堂山芳則,平井克彦,
