Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
1,6,6,マトリカリア,牝6,54,山下雅之,1:30.8,,4-3-2,37.9,3.9,3,450(-2),[地]加藤幸保,吉田銘一,16.0
2,7,7,リードレディー,牝5,54,池田敏樹,1:30.9,3/4,1-1-1,38.6,3.8,2,416(+6),[地]藤田正治,（有）ホースケア,3.7
3,5,5,チェリーサイクロン,牝4,54,藤原幹生,1:31.3,2,3-4-3,38.4,7.5,4,421(-6),[地]伊藤勝好,酒井孝敏,1.6
4,8,8,エーシンモナコ,牝6,54,大原浩司,1:31.4,1/2,2-2-4,38.8,11.0,5,423(-1),[地]伊藤勝好,葛西豊次,1.2
5,2,2,フェアリーフロス,牝7,54,森島貴之,1:32.0,3,8-6-6,38.1,210.8,8,448(0),[地]伊藤勝好,（有）ホースケア,0.8
6,4,4,ツクバインドラ,牡6,56,筒井勇介,1:32.1,3/4,5-5-5,38.7,2.1,1,472(+1),[地]法理勝弘,吉橋計,
7,3,3,ゴールデンステッキ,牡6,56,東川公則,1:32.6,2.1/2,7-8-7,38.7,25.5,6,481(-2),[地]後藤正義,新屋敬,
8,8,9,ウォーヘッド,牡5,56,大塚研司,1:33.1,2.1/2,6-7-8,39.5,328.9,9,418(-6),[地]藤田正治,酒井孝敏,
9,1,1,フレームエンゼル,牝6,54,島崎和也,1:35.5,大,9-9-9,40.6,155.1,7,429(-5),[地]青木達彦,（株）ファーストビ,
1,5,5,マインツ,牝4,54,大原浩司,1:29.4,,1-1-1,39.3,1.6,1,406(+6),[地]後藤正義,蛭川正文,16.0
2,6,6,プリズムシャドウ,牡6,56,池田敏樹,1:29.6,1.1/2,2-2-2,39.4,54.3,6,430(-1),[地]笹野博司,大久保和夫,3.7
3,1,1,ウインバレリーナ,牝5,54,丸野勝虎,1:29.8,1,4-3-3,39.4,4.7,3,424(0),[地]笹野博司,（同）ＪＰＮ技研,1.6
4,8,9,ディアレストハリテ,牡4,56,筒井勇介,1:30.3,2.1/2,5-5-4,39.6,6.4,4,456(-1),[地]田口輝彦,原田篤史,1.2
5,4,4,デルマゴシンゾサン,牝4,54,藤原幹生,1:30.7,2,6-6-5,40.1,4.5,2,408(-1),[地]笹野博司,木村良明,0.8
6,3,3,モリデンビーツ,牝5,54,山下雅之,1:30.8,1/2,9-8-8,39.0,189.8,8,446(-2),[地]水野善太,（有）ミドルアイラ,
7,7,7,ハイエスト,牝5,54,佐藤友則,1:31.0,1.1/2,3-4-6,40.6,53.7,5,417(-15),[地]山中輝久,小林克己,
8,8,8,メモリーグラス,牝5,54,大塚研司,1:32.0,5,7-7-7,40.7,193.7,9,380(+3),[地]藤田正治,（有）ホースケア,
9,2,2,キーハーモニー,牝6,54,森島貴之,1:33.8,9,8-9-9,41.8,134.8,7,421(-3),[地]山中輝久,（有）ホースケア,
1,7,7,パイオニアステップ,牡4,56,川原正一,1:31.7,,5-5-3-1,40.3,8.8,4,466(+11),[地]柏原誠路,松田正一,20.0
2,2,2,ガルフスター,牝4,54,杉浦健太,1:31.8,3/4,7-6-4-4,40.4,43.3,8,472(+2),[地]茂崎正善,赤木勝利,4.8
3,8,9,ジャンゴ,牡4,56,田中学,1:32.0,3/4,8-8-6-7,40.1,3.7,2,484(0),[地]田中道夫,西岡透,2.4
4,1,1,アンランジュ,牝4,54,広瀬航,1:32.2,1,10-9-10-9,40.3,48.4,9,419(-1),[地]溝橋利喜,組）オールザベスト組,1.6
5,6,6,ドリームガイド,牡8,56,大柿一真,1:32.3,1/2,9-10-9-9,40.4,11.2,5,472(+2),[地]山口浩幸,吉岡秀宜,1.2
6,3,3,シュガーレディー,牝4,54,鴨宮祥行,1:32.3,クビ,4-4-7-8,40.8,49.1,10,452(-5),[地]栗林徹治,松岡孝子,
7,5,5,エイシンマーゼリン,牝4,54,板野央,1:32.3,アタマ,6-7-8-6,40.5,5.0,3,432(-4),[地]山口益巳,谷謙介,
8,7,8,リュウノトップ,牡5,55,小山裕也,1:32.6,1.1/2,1-1-1-2,41.7,11.2,6,461(+2),[地]山口浩幸,蓑島竜一,
9,4,4,グレイスタイム,牝4,54,永島太郎,1:32.7,3/4,2-2-2-3,41.7,2.8,1,475(-1),[地]南弘樹,村上稔,
10,8,10,ディベルティード,牡4,56,吉村智洋,1:33.0,1.1/2,3-3-5-5,41.8,12.8,7,436(-3),[地]三宅直之,武井啓透,
1,5,5,エムゼットエヌワン,牝3,54,山田雄大,1:32.1,,4-4-4-3,40.0,2.8,1,429(+2),[地]坂本和也,（株）水野組,20.0
2,6,6,マイフレンズ,牝4,54,大山真吾,1:32.4,1.3/4,2-2-2-1,40.5,2.9,2,419(-10),[地]中塚猛,中尾優司,4.8
3,7,8,アクアブルーサニー,牡6,56,広瀬航,1:33.0,3.1/2,3-3-3-4,41.0,5.5,4,481(-2),[地]国沢利照,木下務,2.4
4,2,2,ユメミルチカラ,牝8,54,寺地誠一,1:33.2,1.1/2,1-1-1-2,42.0,4.8,3,451(-18),[地]雑賀伸一,古城登,1.6
