Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
200239030104,1,7,8,キャロウエセイザン,牝3,54,内田利雄,1:35.2,,2-1,,---,1,431(-1),[地]長島康男,清宮淑,28.0
200239030104,2,8,9,タキノアスカ,牝3,54,大木義一,1:36.0,4,9-5,,---,10,412(+2),[地]梅山誠,門別善男,8.4
200239030104,3,8,10,グレンシラオキ,牡3,55,水野貴史,1:36.1,1/2,4-3,,---,2,510(-3),[地]松代仁,（株）諏訪牧場,3.1
200239030104,4,1,1,キャッシーオー,牡3,55,三上智也,1:36.4,1.1/2,7-6,,---,5,403(-2),[地]岡昭,村下正明,2.8
200239030104,5,7,7,アヤメチャン,牝3,54,藤江渉,1:36.4,クビ,6-7,,---,5,363(-3),[地]星野由基,斉須繁雄,2.6
200239030104,6,2,2,キクハタ,牝3,54,早川順一,1:36.5,クビ,3-4,,---,4,406(-2),[地]早川行男,高田豊市,
200239030104,7,3,3,ビックエイカン,牝3,54,小野三夫,1:37.3,4,5-9,,---,3,456(+1),[地]長島恭生,櫛田実,
200239030104,8,5,5,アップルコマンダー,牡3,55,大枝幹也,1:37.6,1.1/2,10-10,,---,8,433(+3),[地]川原道正,鈴木和子,
200239030104,9,4,4,シンジュクネヴァー,牡3,55,柴嵜勝,1:37.8,1,8-8,,---,8,438(-7),[地]菅原末治,山崎義明,
200239030104,10,6,6,エブロスホープ,牝3,54,野沢憲彦,1:39.0,6,1-1,,---,7,429(-3),[地]星野由基,高橋正,
200239030107,1,6,6,マイマスタータッチ,牡4,54,平沢則雄,1:34.3,,3-2,,---,6,432(-2),[地]菅原欣也,五影慶則,27.0
200239030107,2,7,8,ピンキーブラック,牝4,54,鈴木正,1:34.5,1,3-4,,---,4,423(-7),[地]中村憲和,石田正胤,8.1
200239030107,3,7,7,エーピースワット,牡4,54,粂川京利,1:34.9,2,1-1,,---,7,482(-8),[地]田畑勝男,デルマークラブ,3.0
200239030107,4,8,9,ブルーカル,牡5,54,森泰斗,1:35.9,5,8-8,,---,7,453(-3),[地]佐藤裕,新井政喜,2.7
200239030107,5,2,2,タイフォルテ,牡4,54,古沢泰博,1:36.3,2,9-9,,---,1,414(-5),[地]人見鉄也,熊久保勅夫,2.5
200239030107,6,4,4,タカトモアピール,牡4,54,山口竜一,1:36.3,クビ,2-5,,---,2,494(-10),[地]山口健治,高橋顯輔,
200239030107,7,1,1,シンボリスコープ,牡4,54,加藤和博,1:36.6,1.1/2,6-6,,---,3,465(-3),[地]平石勉,飯川昌春,
200239030107,8,8,10,キャロルスキー,牡5,55,内田利雄,1:36.7,3/4,3-3,,---,4,455(-8),[地]室井康雄,大塚文男,
200239030107,9,5,5,タカノダーバン,牡4,54,小野三夫,1:36.8,クビ,7-7,,---,7,458(-1),[地]長島恭生,広田章,
200239030107,10,3,3,ニシネハナフサ,牝4,54,藤本靖,1:37.2,2,9-9,,---,10,445(+3),[地]山口敬一,池田忠臣,
200239030110,1,4,4,チクサンハッピー,牡6,55,大木義一,1:34.0,,7-2,,---,6,438(0),[地]岩渕良三,中村三郎,28.0
200239030110,2,3,3,グレイトボーイ,牡4,55,平沢則雄,1:34.5,2.1/2,5-5,,---,4,477(0),[地]長島恭生,石川一義,8.4
200239030110,3,6,6,カナディアンレイク,牡5,55,森泰斗,1:34.6,1/2,9-6,,---,7,461(-3),[地]川原道正,栗原義男,3.1
200239030110,4,8,9,カネシンライズ,牡6,55,小野三夫,1:34.6,クビ,10-10,,---,5,475(+5),[地]長島恭生,落合正幸,2.8
200239030110,5,1,1,アブソリミカド,牡4,55,丸山侯彦,1:34.8,1,6-4,,---,1,507(+7),[地]佐藤裕,梅野昇,2.6
200239030110,6,7,8,ダンディーロマン,牡5,55,早川順一,1:35.6,4,2-3,,---,2,469(0),[地]日野啓二,平間陽一,
200239030110,7,5,5,フジノモンタ,牡6,55,鈴木正,1:35.6,ハナ,8-9,,---,3,422(-7),[地]川中子健,青山清,
200239030110,8,8,10,カヌマパーシャル,牝5,54,佐々木泉,1:36.0,2,3-7,,---,10,423(-4),[地]市沢初太,石川種蔵,
200239030110,9,2,2,リフレインラブ,牝5,54,岡田康志,1:36.4,2,4-8,,---,8,408(-2),[地]早川實,戸部洋,
200239030110,10,7,7,ヘルメス,牝5,54,粂川京利,1:37.2,4,1-1,,---,9,469(-4),[地]小林昭,岡崎百合子,
200239030103,1,8,10,イシノロッチ,牡4,55,早川順一,1:34.4,,2-2,,---,1,487(-1),[地]日野啓二,石井與一,26.0
200239030103,2,5,5,プリティーハンター,牝4,54,内田利雄,1:35.1,3,4-3,,---,2,394(+6),[地]岩渕良三,曽根秀広,7.8
200239030103,3,3,3,アイコマダンディー,牡6,55,岡田康志,1:35.8,3,9-8,,---,6,485(-1),[地]川原實,五十嵐登,2.9
200239030103,4,7,7,サンダーソニア,牝4,54,大木義一,1:35.8,ハナ,7-7,,---,9,439(-1),[地]梅山誠,谷山富英,2.6
200239030103,5,7,8,トウショウウイン,牝4,54,山田博美,1:35.9,1/2,1-1,,---,3,445(0),[地]中村憲和,富樫達也,2.4
200239030103,6,6,6,ウインザーダンス,牝4,54,野沢憲彦,1:36.0,1/2,3-3,,---,10,446(+2),[地]川村正義,惣田正二,
200239030103,7,4,4,ターフエンペラー,牡6,55,平沢則雄,1:36.1,クビ,6-3,,---,4,477(-1),[地]長島恭生,谷川吉介,
200239030103,8,1,1,マルカンセンプー,牝5,54,山口竜一,1:36.4,1.1/2,7-9,,---,6,423(-5),[地]前田利夫,大島保夫,
200239030103,9,8,9,アンバードリアン,牝7,54,小野三夫,1:36.5,3/4,10-10,,---,6,441(+1),[地]小林昭,岡崎百合子,
200239030103,10,2,2,ウインソロン,牝7,54,森泰斗,1:36.7,1,5-7,,---,5,437(0),[地]川原道正,周藤百民,
200239030105,1,8,10,スリーホウセキ,牝4,54,水野貴史,1:28.8,,8-7,,---,1,416(-1),[地]稲村友行,新井政喜,26.0
200239030105,2,1,1,カツヨシトップ,牝4,54,小野三夫,1:28.9,1/2,6-6,,---,4,416(+1),[地]川原實,天笠陽子,7.8
200239030105,3,5,5,プラハフォンテン,牝4,54,藤本靖,1:28.9,クビ,1-1,,---,3,476(-9),[地]山口敬一,吉橋計,2.9
200239030105,4,4,4,オイワケカイウン,牡4,55,大木義一,1:29.1,1,2-2,,---,2,461(-11),[地]佐藤裕,中村三郎,2.6
200239030105,5,6,6,ティーラソーレ,牝5,54,野沢憲彦,1:29.2,クビ,3-3,,---,7,432(-2),[地]人見鉄也,野沢武,2.4
200239030105,6,3,3,アイアイオリーブ,牝6,54,松本大寿,1:29.4,1,5-5,,---,10,455(-1),[地]稲村友行,仁木マサ子,
200239030105,7,8,9,ホワイトバレッタ,牝5,54,山口盛弘,1:29.6,1,10-8,,---,8,438(+2),[地]堀江富雄,川田英介,
200239030105,8,2,2,スターコンコルド,牡5,55,柴嵜勝,1:29.9,1.1/2,3-4,,---,8,456(-1),[地]前田利夫,庄司良江,
200239030105,9,7,7,マイネルマーシャル,牡6,55,内田利雄,1:30.0,1/2,9-10,,---,5,434(+6),[地]岩渕三男,美山剛,
200239030105,10,7,8,オースミアイアン,牡7,55,森泰斗,1:33.3,大,7-9,,---,6,493(-7),[地]佐藤裕,鮫川清一,
200239030106,1,6,6,サクセスポイント,牡6,55,加藤和博,1:34.8,,4-3,,---,3,429(-6),[地]松代仁,田中丈夫,28.0
200239030106,2,8,9,エビスリッチ,牡5,55,水野貴史,1:34.9,クビ,1-1,,---,2,481(-4),[地]手塚佳彦,加藤友三郎,8.4
200239030106,3,1,1,フクノナンカイ,牡6,55,小野三夫,1:35.3,2,8-7,,---,5,453(+1),[地]長島恭生,福田貞一,3.1
200239030106,4,7,8,カナリーグラス,牡6,55,鈴木正,1:35.4,クビ,6-5,,---,1,432(+3),[地]中村憲和,原剛,2.8
200239030106,5,5,5,ナポレオンアップル,牝6,54,三上智也,1:35.6,1,10-9,,---,4,469(-2),[地]岩渕義三,（株）丸美,2.6
200239030106,6,4,4,マグニスピードオー,牡6,55,松本大寿,1:36.1,2.1/2,6-5,,---,8,469(-11),[地]山口健治,柏崎和己,
200239030106,7,2,2,コダマチルウインド,牝4,54,柴嵜勝,1:36.1,ハナ,2-2,,---,5,492(-3),[地]菅原末治,荒木和男,
