Code,Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
200836112902,1,1,1,マルブツコンバット,牡2,54,小林俊彦,1:28.4,,5-4-4-2,,6.8,3,421(-1),[地]小西重征,大沢毅,40.0
200836112902,2,2,2,カヌマサクラ,牝2,53,村松学,1:28.8,2.1/2,1-1-1-1,,8.0,4,434(-11),[地]菅原右吉,石川種蔵,9.2
200836112902,3,5,5,テバギア,牡2,54,菅原勲,1:29.6,5,6-6-5-4,,1.7,1,477(+1),[地]村上昌幸,清川孝徳,5.2
200836112902,4,7,7,テンショウスズラン,牝2,53,阿部英俊,1:29.6,クビ,3-2-2-2,,9.2,5,422(-8),[地]菅原右吉,高橋昇市,3.6
200836112902,5,4,4,イシノイングランド,牡2,54,関本淳,1:30.2,4,7-7-6-5,,18.0,6,423(+8),[地]城地藤男,石田正胤,2.0
200836112902,6,6,6,マドルスルー,牡2,54,村上忍,1:30.8,4,4-5-3-6,,3.5,2,474(-18),[地]伊藤和,原栄一,
200836112902,7,3,3,ローズヘイロー,牝2,53,南郷家全,1:31.4,4,2-3-7-7,,44.2,7,433(+1),[地]城地藤男,石田正胤,
200836112909,1,5,5,クロシェレース,牝3,53,阿部英俊,1:42.9,,2-2-1-1,,1.6,1,421(-3),[地]佐々木由,谷謙介,20.0
200836112909,2,1,1,ツキミデイッパイ,牡3,55,菅原勲,1:43.2,2,4-4-4-2,,2.6,2,488(+5),[地]佐藤晴記,苅部康太郎,4.6
200836112909,3,4,4,マイネルオスカー,牡3,55,村上忍,1:44.0,5,5-5-2-3,,5.4,3,463(-2),[地]佐藤雅彦,玉田博志,2.6
200836112909,4,3,3,バトルヴィクトリア,牝3,53,菅原俊吏,1:44.3,2,1-1-3-4,,43.8,5,393(-2),[地]佐藤雅彦,石川諭,1.8
200836112909,5,7,9,クラマックス,牝3,53,高橋悠里,1:44.5,1.1/2,6-7-7-8,,127.2,7,440(-3),[地]佐藤祐司,倉見利弘,1.0
